iter	Passed	Remaining
402	7601	10015
403	7615	9990
404	7630	9966
405	7641	9937
406	7654	9910
407	7668	9886
408	7683	9863
409	7698	9838
410	7709	9809
411	7718	9779
412	7736	9759
413	7752	9738
414	7769	9716
415	7784	9693
416	7796	9665
417	7810	9642
418	7828	9622
419	7844	9600
420	7860	9577
421	7876	9555
422	7892	9534
423	7911	9516
424	7927	9494
425	7943	9471
426	7959	9450
427	7978	9432
428	7992	9407
429	8003	9381
430	8016	9355
431	8029	9330
432	8046	9309
433	8064	9290
434	8079	9268
435	8096	9247
436	8114	9228
437	8132	9209
438	8147	9186
439	8162	9163
440	8181	9146
441	8205	9133
442	8227	9119
443	8249	9104
444	8269	9087
445	8292	9073
446	8316	9060
447	8340	9047
448	8365	9036
449	8384	9018
450	8404	9000
451	8423	8982
452	8441	8963
453	8459	8944
454	8480	8927
455	8498	8908
456	8514	8887
457	8531	8866
458	8549	8847
459	8567	8827
460	8584	8807
461	8603	8790
462	8624	8773
463	8643	8755
464	8656	8731
465	8672	8709
466	8688	8688
467	8700	8663
468	8720	8646
469	8737	8625
470	8750	8602
471	8770	8584
472	8788	8565
473	8805	8545
474	8822	8525
475	8839	8504
476	8857	8485
477	8871	8462
478	8888	8443
479	8905	8423
480	8919	8400
481	8937	8381
482	8953	8360
483	8969	8339
484	8982	8315
485	8996	8292
486	9014	8274
487	9030	8253
488	9050	8235
489	9066	8215
490	9084	8196
491	9102	8177
492	9115	8153
493	9133	8135
494	9152	8117
495	9164	8093
496	9179	8071
497	9194	8049
498	9210	8028
499	9223	8006
500	9232	7979
501	9246	7957
502	9258	7933
503	9274	7912
504	9290	7892
505	9303	7869
506	9317	7847
507	9326	7820
508	9339	7798
509	9352	7775
510	9372	7758
511	9388	7738
512	9402	7715
513	9414	7693
514	9429	7671
515	9443	7650
516	9459	7629
517	9476	7610
518	9492	7590
519	9508	7570
520	9522	7548
521	9538	7528
522	9553	7507
523	9568	7486
524	9584	7466
525	9600	7446
526	9616	7426
527	9632	7406
528	9649	7387
529	9660	7363
530	9675	7343
531	9688	7320
532	9702	7299
533	9715	7277
534	9730	7257
535	9749	7239
536	9768	7221
537	9786	7203
538	9804	7185
539	9829	7171
540	9854	7158
541	9885	7149
542	9914	7138
543	9939	7125
544	9964	7112
545	9987	7097
546	10012	7083
547	10034	7067
548	10062	7056
549	10085	7041
550	10099	7020
551	10122	7005
552	10151	6994
553	10172	6977
554	10197	6963
555	10214	6944
556	10241	6931
557	10276	6924
558	10302	6911
559	10328	6898
560	10348	6880
561	10369	6863
562	10384	6843
563	10398	6821
564	10413	6800
565	10427	6779
566	10441	6758
567	10457	6738
568	10472	6718
569	10493	6701
570	10518	6687
571	10541	6671
572	10564	6655
573	10586	6639
574	10609	6624
575	10634	6609
576	10655	6592
577	10675	6575
578	10695	6557
579	10709	6536
580	10721	6514
581	10735	6492
582	10749	6472
583	10764	6451
584	10779	6430
585	10798	6412
586	10822	6397
587	10843	6380
588	10866	6364
589	10887	6347
590	10906	6330
591	10932	6315
592	10953	6298
593	10974	6281
594	10987	6260
595	11005	6241
596	11020	6220
597	11033	6199
598	11046	6178
599	11055	6154
600	11070	6133
601	11081	6111
602	11096	6090
603	11111	6070
604	11125	6049
605	11147	6033
606	11169	6017
607	11188	5999
608	11207	5981
609	11220	5959
610	11245	5944
611	11269	5929
612	11291	5912
613	11316	5897
614	11336	5880
615	11355	5861
616	11369	5841
617	11384	5821
618	11401	5801
619	11410	5778
620	11424	5758
621	11438	5737
622	11455	5718
623	11470	5698
624	11487	5679
625	11509	5662
626	11533	5647
627	11553	5629
628	11573	5612
629	11594	5594
630	11614	5577
631	11634	5559
632	11654	5541
633	11670	5522
634	11691	5504
635	11704	5484
636	11717	5463
637	11730	5442
638	11754	5426
639	11777	5410
640	11803	5395
641	11843	5386
642	11877	5375
643	11918	5366
644	11950	5354
645	11971	5337
646	12001	5323
647	12025	5307
648	12045	5289
649	12061	5270
650	12084	5253
651	12107	5236
652	12132	5220
653	12154	5203
654	12169	5183
655	12206	5172
656	12230	5156
657	12260	5142
658	12282	5125
659	12301	5107
660	12320	5088
661	12344	5072
662	12367	5055
663	12384	5035
664	12407	5018
665	12434	5003
666	12459	4987
667	12481	4970
668	12504	4953
669	12523	4934
670	12546	4917
671	12566	4899
672	12583	4879
673	12595	4858
674	12617	4841
675	12638	4823
676	12660	4806
677	12686	4790
678	12709	4772
679	12730	4755
680	12751	4737
681	12774	4720
682	12797	4702
683	12810	4682
684	12825	4661
685	12839	4641
686	12853	4621
687	12868	4601
688	12882	4580
689	12896	4560
690	12912	4540
691	12925	4520
692	12941	4500
693	12961	4482
694	12984	4465
695	13005	4447
696	13024	4428
697	13045	4410
698	13064	4392
699	13084	4373
700	13103	4355
701	13124	4337
702	13143	4318
703	13155	4297
704	13168	4277
705	13183	4257
706	13197	4237
707	13211	4217
708	13228	4197
709	13244	4178
710	13260	4158
711	13276	4139
712	13292	4120
713	13308	4100
714	13320	4079
715	13342	4062
716	13362	4044
717	13380	4025
718	13400	4007
719	13426	3990
720	13446	3972
721	13460	3952
722	13483	3934
723	13503	3916
724	13522	3898
725	13540	3879
726	13555	3859
727	13572	3840
728	13589	3821
729	13604	3801
730	13619	3782
731	13631	3761
732	13646	3741
733	13662	3722
734	13688	3706
735	13711	3688
736	13735	3671
737	13756	3653
738	13783	3637
739	13805	3619
740	13827	3601
741	13851	3584
742	13873	3566
743	13891	3547
744	13907	3528
745	13921	3508
746	13936	3488
747	13952	3469
748	13968	3450
749	13983	3430
750	13999	3411
751	14016	3392
752	14037	3374
753	14052	3354
754	14068	3335
755	14090	3317
756	14111	3299
757	14125	3279
758	14146	3261
759	14161	3242
760	14183	3224
761	14204	3206
762	14226	3188
763	14242	3169
764	14260	3150
765	14275	3130
766	14288	3110
767	14302	3091
768	14317	3072
769	14331	3052
770	14347	3033
771	14363	3014
772	14380	2995
773	14403	2977
774	14433	2961
775	14454	2943
776	14470	2923
777	14488	2905
778	14509	2886
779	14540	2870
780	14586	2857
781	14601	2838
782	14617	2818
783	14633	2799
784	14650	2780
785	14674	2763
786	14702	2746
787	14727	2728
788	14749	2710
789	14774	2693
790	14797	2675
791	14820	2657
792	14850	2640
793	14871	2622
794	14890	2603
795	14910	2585
796	14936	2567
797	14957	2549
798	14985	2531
799	15009	2514
800	15033	2496
801	15049	2476
802	15071	2458
803	15092	2440
804	15114	2422
805	15136	2403
806	15161	2385
807	15186	2368
808	15212	2350
809	15232	2331
810	15253	2313
811	15270	2294
812	15287	2275
813	15300	2255
814	15313	2235
815	15326	2216
816	15339	2196
817	15357	2177
818	15378	2159
819	15398	2140
820	15418	2122
821	15442	2104
822	15464	2085
823	15486	2067
824	15505	2048
825	15524	2029
826	15545	2011
827	15560	1992
828	15576	1972
829	15593	1953
830	15611	1934
831	15623	1915
832	15640	1896
833	15659	1877
834	15672	1858
835	15692	1839
836	15709	1820
837	15727	1801
838	15744	1782
839	15760	1763
840	15778	1744
841	15792	1725
842	15809	1706
843	15824	1687
844	15839	1668
845	15856	1649
846	15872	1630
847	15888	1611
848	15904	1592
849	15923	1573
850	15938	1554
851	15955	1535
852	15975	1517
853	15992	1498
854	16007	1479
855	16026	1460
856	16045	1441
857	16063	1422
858	16083	1404
859	16101	1385
860	16119	1366
861	16137	1347
862	16154	1329
863	16173	1310
864	16190	1291
865	16209	1272
866	16232	1254
867	16252	1235
868	16265	1216
869	16281	1197
870	16296	1178
871	16309	1159
872	16322	1140
873	16329	1121
874	16341	1101
875	16354	1082
876	16367	1063
877	16380	1044
878	16392	1025
879	16405	1006
880	16419	987
881	16433	968
882	16452	950
883	16466	931
884	16475	912
885	16490	893
886	16504	874
887	16518	855
888	16532	836
889	16546	818
890	16558	799
891	16572	780
892	16586	761
893	16597	742
894	16607	723
895	16622	704
896	16636	686
897	16648	667
898	16663	648
899	16678	630
900	16693	611
901	16707	592
902	16722	574
903	16736	555
904	16752	536
905	16767	518
906	16781	499
907	16796	480
908	16811	462
909	16825	443
910	16838	425
911	16851	406
912	16865	387
913	16879	369
914	16894	350
915	16909	332
916	16926	313
917	16942	295
918	16953	276
919	16966	258
920	16978	239
921	16994	221
922	17010	202
923	17029	184
924	17044	165
925	17062	147
926	17079	128
927	17095	110
928	17112	92
929	17129	73
930	17148	55
931	17167	36
932	17184	18
933	17202	0
